States,Obama (D),Romney (R),All Others,Total Votes,Eligible Voters,Voter Turnout (%)
Total,65915795,60933504,2236111,129085410,222474111,58.02
AL,795696,1255925,22717,2074338,3539217,58.61
AK,122640,164676,13179,300495,511792,58.71
AZ,1025232,1233654,40368,2299254,4387900,52.4
AR,394409,647744,27315,1069468,2109847,50.69
CA,7854285,4839958,344304,13038547,23681837,55.06
CO,1323102,1185243,61177,2569522,3675871,69.9
CT,905083,634892,18985,1558960,2543202,61.3
DE,242584,165484,5853,413921,663967,62.34
DC,267070,21381,5313,293764,477582,61.51
FL,4237756,4163447,72976,8474179,13495057,62.79
GA,1773827,2078688,47535,3900050,6606607,59.03
HI,306658,121015,7024,434697,982902,44.23
ID,212787,420911,18576,652274,1091410,59.76
IL,3019512,2135216,87286,5242014,8899143,58.9
IN,1152887,1420543,51104,2624534,4755291,55.19
IA,822544,730617,29019,1582180,2251748,70.26
KS,440726,692634,26611,1159971,2030686,57.12
KY,679370,1087190,30652,1797212,3229185,55.66
LA,809141,1152262,32662,1994065,3311626,60.21
ME,401306,292276,19598,713180,1046008,68.18
MD,1677844,971869,57614,2707327,4063582,66.62
MA,1921290,1188314,58163,3167767,4809675,65.86
MI,2564569,2115256,51136,4730961,7312725,64.69
MN,1546167,1320225,70169,2936561,3861598,76.05
MS,562949,710746,11889,1285584,2166825,59.33
MO,1223796,1482440,51087,2757323,4432957,62.2
MT,201839,267928,14281,484048,774476,62.5
NE,302081,475064,17234,794379,1316915,60.32
NV,531373,463567,19978,1014918,1800969,56.35
NH,369561,329918,11493,710972,1013420,70.16
NJ,2125101,1477568,37623,3640292,5918182,61.51
NM,415335,335788,32635,783758,1436363,54.57
NY,4485741,2490431,104987,7081159,13324107,53.15
NC,2178391,2270395,56586,4505372,6947954,64.84
ND,124827,188163,9637,322627,539164,59.84
OH,2827709,2661437,91701,5580847,8649495,64.52
OK,443547,891325,0,1334872,2713268,49.2
OR,970488,754175,64607,1789270,2836101,63.09
PA,2990274,2680434,82962,5753670,9651432,59.61
RI,279677,157204,9168,446049,768918,58.01
SC,865941,1071645,26532,1964118,3486838,56.33
SD,145039,210610,8166,363815,613190,59.33
TN,960709,1462330,35538,2458577,4736084,51.91
TX,3308124,4569843,115884,7993851,16119973,49.59
UT,251813,740600,25027,1017440,1833339,55.5
VT,199239,92698,7353,299290,493355,60.66
VA,1971820,1822522,60147,3854489,5834676,66.06
WA,1755396,1290670,79450,3125516,4822060,64.82
WV,238269,417655,14514,670438,1447066,46.33
WI,1620985,1407966,39483,3068434,4209370,72.9
WY,69286,170962,8813,249061,425142,58.58